Film,Year,Rotten Tomatoes's Top 100
The Godfather,1972,17
Citizen Kane,1941,2
Casablanca,1942,8
"The Godfather, Part II",1974,99
Singin' in the Rain,1952,52
Psycho,1960,88
Rear Window,1954,47
Apocalypse Now,1979,unranked
2001: A Space Odyssey,1968,unranked
Seven Samurai,1954,49
Vertigo,1958,unranked
Sunset Blvd,1950,21
Modern Times,1936,4
Lawrence of Arabia,1962,unranked
North by Northwest,1959,79
Star Wars,1977,unranked
Schindler's List,1993,unranked
Shawshank Redemption,1994,unranked
It's a Wonderful Life,1946,unranked
Pulp Fiction,1994,unranked
City Lights,1931,unranked
One Flew Over the Cuckoo's Nest,1975,unranked
